"address","zip_code","num_bed","num_bath","home_area","price"
"1333 E 41st Pl, Los Angeles",90011,2,2,910,545000
"1315 E 42nd Pl, Los Angeles",90011,10,6,3625,1050000
"1320 E 43rd St, Los Angeles",90011,2,1,1174,570000
"1326 E 43rd Pl, Los Angeles",90011,2,1,1152,505
"4310 Ascot Ave, Los Angeles",90011,2,1,600,410000
"1463 E 42nd St, Los Angeles",90011,2,1,748,476000
"1592 E 42nd St, Los Angeles",90011,1,1,718,250000
"4309 Lima St, Vernon",90011,4,2,1388,660000
"4348 Lima St, Los Angeles",90011,2,2,600,450000
"1608 E 43rd St, Los Angeles",90011,5,2,1470,625000
"4326 Honduras St, Los Angeles",90011,2,2,816,460000
"1661 E 33rd St, Los Angeles",90011,3,2,1232,606000
"1673 E 33rd St, Los Angeles",90011,4,2,1054,685000
"1602 E 32nd St, Los Angeles",90011,2,2,832,613000
"1634 E 32nd St, Los Angeles",90011,3,1,1508,560000
"1536 E 33rd St, Los Angeles",90011,3,1,1404,520000
"1580 E 33rd St, Los Angeles",90011,1,1,672,520000
"1601 E Martin Luther King Jr Blvd Unit B, Los Angeles",90011,3,2,1432,605
"1656 E 33rd St, Los Angeles",90011,3,1,832,405
"1514 E 22nd St, Los Angeles",90011,3,1,1084,470000
"1321 E 28 St, Los Angeles",90011,3,2,1050,510000
"1554 E 24th St, Los Angeles",90011,2,1,650,410000
"1344 E 20th St, Los Angeles",90011,5,2,1534,699000
"1387 E 23rd St, Los Angeles",90011,2,1,1124,495000
"1144 E Adams Blvd, Los Angeles",90011,4,2,1922,560000
"1132 E 27th St, Los Angeles",90011,4,2,1486,570000
"1128 E 28th St, Los Angeles",90011,4,2,1924,615000
"1214 E 27th St, Los Angeles",90011,4,2,1850,705
"1220 E 25th St, Los Angeles",90011,4,2,1528,590000
"1438 E 21st St E, Los Angeles",90011,2,2,1344,630000
"3425 Maple Ave, Los Angeles",90011,2,1,888,515000
"120 E 36th St, Los Angeles",90011,3,1,1846,815000
"315 E 37th St, Los Angeles",90011,3,1,1388,650000
"355 E 36th St, Los Angeles",90011,2,1,1012,525000
"322 E 33rd St, Los Angeles",90011,3,1,1940,580000
"362 E 33rd St, Los Angeles",90011,2,1,1016,675000
"734 E 31st, Los Angeles",90011,4,2,1588,705
"721 E 32nd St, Los Angeles",90011,3,2,1410,575000
"855 E 33rd St, Los Angeles",90011,3,2,1312,662000
"843 E 33rd St, Los Angeles",90011,3,1,1108,535000
"826 E 33rd St, Los Angeles",90011,5,2,2071,850000
"842 E 33rd St, Los Angeles",90011,3,1,1300,510000
"626 E 35th St, Los Angeles",90011,3,2,1019,590000
"622 E 35th St, Los Angeles",90011,3,1,988,584500
