"address","zip_code","num_bed","num_bath","home_area","price"
"5765 Lake Lindero Drive Agoura Hills",91301,3,3,1320,990000
"3908 Bentley Avenue Culver City",90232,6,4,3113,2825000
"1146 Flanders Road La Canada Flintridge",91011,5,6,4947,4495000
"1262 Hyperion Avenue Los Angeles",90026,3,2,2009,2325000
"25365 Prado De La Felicidad Calabasas",91302,7,8,16850,28750000
"548 South Van Ness Avenue Los Angeles",90020,6,4,4365,3450000
"4803 Cromwell Avenue Los Angeles",90027,4,3,3355,3649000
"309 20th Street Santa Monica",90402,5,2,2416,4250000
"2725 Malcolm Avenue Los Angeles",90064,3,1,1221,1595000
"5502 West Olympic Boulevard Los Angeles",90019,3,3,2135,1298000
"8326 Utica Drive Los Angeles",90046,2,1,1088,2100000
"4828 Radford Avenue Valley Village",91607,5,4,2726,1695000
"4401 Moorpark Way, Unit 105 Toluca Lake",91602,1,1,1038,725000
"2556 Aberdeen Avenue Los Angeles",90027,5,6,5942,11995000
"5231 Franklin Avenue Los Angeles",90027,5,3,4743,4750000
"11444 Decente Court Studio City",91604,3,2,1727,1998000
"19650 Greenbriar Drive Tarzana",91356,4,4,2629,2950000
"4268 Mentone Avenue Culver City",90232,4,4,3500,2399000
"906 Wellesley Avenue Los Angeles",90049,3,3,2094,2495000
"19863 Emmett Road Canyon Country",91351,4,3,1933,799000
"2519 Chislehurst Place Los Angeles",90027,5,4,4750,8495000
"4129 Jackson Avenue Culver City",90232,5,4,3896,3895000
"18773 Bermuda Street Northridge",91326,5,2,2364,1120000
"1812 Bel Air Road Los Angeles",90077,3,4,4237,5700000
"4130 Parva Avenue Los Angeles",90027,5,5,5492,4850000
"5107 Los Hermosos Way Los Angeles",90027,5,7,7667,8995000
"8014 Altavan Avenue Los Angeles",90045,3,3,2060,2398000
"233 South Larchmont Boulevard Los Angeles",90004,6,6,3780,4200000
"491 Homewood Road Los Angeles",90049,5,7,10997,6995000
"2587 South Bundy Drive Los Angeles",90064,3,1,1321,1250000
"1916 Whitmore Avenue Los Angeles",90039,1,1,544,750000
"2006 1/2 Preuss Road Los Angeles",90034,3,3,1313,1350000
"5435 West Boulevard Los Angeles",90043,7,4,3849,1699000
"2705 Ocean Front Walk Venice",90291,3,3,3849,8895000
"10538 Wellworth Avenue Los Angeles",90024,4,4,3828,4999000
"11702 Charnock Road Los Angeles",90066,3,2,2410,2349000
"2024 Camden Avenue Los Angeles",90025,2,2,1505,1895000
"1125 San Ysidro Drive Beverly Hills",90210,5,6,6000,9500000
"8801 Hollywood Hills Road Los Angeles",90046,3,2,2014,2495000
"2331 Stanley Hills Drive Los Angeles",90046,3,1,967,1000000
"5084 Valjean Avenue Encino",91436,7,6,7492,6999000
"5136 Nagle Avenue Sherman Oaks",91423,6,7,5712,4299000
"911 Milwood Avenue Venice",90291,4,4,3374,4195000
"1052 South 10th Avenue Arcadia",91006,3,2,1689,1586000
"15410 Leffingwell Road Whittier",90604,3,2,1145,750000
"11120 Braddock Drive Culver City",90230,5,3,3583,3200000
"500 Toyopa Drive Pacific Palisades",90272,6,8,8690,12995000
"3009 Yale Avenue Marina del Rey",90292,3,3,1849,3195000
"2175 Vista Del Mar Avenue Los Angeles",90068,3,2,1990,2199000
"1215 Reynolds Drive Glendale",91205,4,3,1835,1485000
"3049 Laurel Canyon Boulevard Studio City",91604,3,2,2210,1995000
"909 North Stanley Avenue West Hollywood",90046,2,3,1852,2349000
"1231 Stone Canyon Road Los Angeles",90077,5,6,5513,11495000
"2253 Canyonback Road Los Angeles",90049,3,3,3455,2748000
"199 Chautauqua Boulevard Pacific Palisades",90272,2,2,1701,8900000
"6850 Cahuenga Park Trail Los Angeles",90068,3,2,1650,1500000
"18460 Coastline Drive Malibu",90265,3,3,2338,5500000
"9739 Ardendale Avenue Arcadia",91007,3,1,1344,968000
"531 Woodruff Avenue Los Angeles",90024,4,5,4544,7795000
"2330 West 29th Place Los Angeles",90018,3,2,1226,1099000
"11850 North Park Avenue Los Angeles",90066,5,6,4203,4290000
"709 Paseo Del Mar Palos Verdes Estates",90274,3,4,4878,8995000
"5511 Fenwood Avenue Woodland Hills",91367,5,3,3008,2295000
"5217 Dahlia Drive Los Angeles",90041,5,3,2749,2993000
"206 North Mariposa Avenue Los Angeles",90004,4,3,1528,1295000
"1030 9th Street Hermosa Beach",90254,4,3,2759,3890000
"6416 Belmar Avenue Reseda",91335,6,4,2710,1199000
"6007 Trancas Canyon Road Malibu",90265,4,3,3514,5995000
"4020 Hopevale Drive Sherman Oaks",91403,2,1,777,789900
"10542 Bloomfield Street Toluca Lake",91602,3,2,2211,2395000
"919 North Parish Place Burbank",91506,6,3,3044,1895000
"701 Huntley Drive West Hollywood",90069,3,4,3424,4195000
"105 Sequoia Drive Pasadena",91105,5,5,4041,3388000
"308 West Hillcrest Boulevard Inglewood",90301,2,1,1181,795000
"12107 Palms Boulevard Los Angeles",90066,4,4,3634,3995000
"403 South Maie Avenue Compton",90220,3,1,1044,510000
"806 Valita Street Venice",90291,4,4,2880,2995000
"2215 Marine Street Santa Monica",90405,4,3,1819,2348000
"2046 Walnut Street La Verne",91750,4,1,1290,1450000
"2252 Verde Oak Drive Los Angeles",90068,2,2,1552,1599000
"146 South Norton Avenue Los Angeles",90004,5,4,3870,3999000
"1943 South Spaulding Avenue Los Angeles",90016,2,1,1095,1060000
"921 Rivas Canyon Road Pacific Palisades",90272,5,6,5474,10950000
"3580 Wasatch Avenue Los Angeles",90066,6,8,6331,6800000
"4301 Bergamo Drive Encino",91436,5,3,3003,2995000
"1047 Chautauqua Boulevard Pacific Palisades",90272,8,8,6548,9375000
"12410 Helena Street Los Angeles",90049,4,4,3284,3998000
"3322 West 117th Street Inglewood",90303,3,3,1982,965000
"4461 Caledonia Way Los Angeles",90065,3,1,1963,1798000
"1625 Blake Avenue Los Angeles",90031,2,1,4440,3975000
"815 South Spaulding Avenue Los Angeles",90036,3,2,1969,1899000
"4116 Punta Alta Drive Los Angeles",90008,4,3,3390,3675000
"1950 Wattles Drive Los Angeles",90046,4,3,4236,4995000
"7231 Whitaker Avenue Van Nuys",91406,3,2,1396,1099000
"10341 Collett Avenue Granada Hills",91344,3,2,1608,649000
"919 Chantilly Road Los Angeles",90077,4,4,2850,5200000
"7050 Pacific View Drive Los Angeles",90068,3,3,1859,2498000
"1754 Amherst Avenue Los Angeles",90025,3,1,1768,1799000
"23825 Lanesboro Place Valencia",91354,5,4,3476,1200000
"2013 Glencoe Way Los Angeles",90068,4,4,3109,3295000
"5410 Murietta Avenue Sherman Oaks",91401,3,2,1620,1649000
"6519 1/2 La Mirada Avenue Los Angeles",90038,3,3,1736,1049000
"768 Hyperion Avenue Los Angeles",90029,3,3,2175,1650000
"3611 El Lado Drive Glendale",91208,3,2,1734,1499000
"3404 Merrimac Road Los Angeles",90049,4,2,2118,2850000
"2671 Anchor Avenue Los Angeles",90064,3,3,1668,2750000
"239 East Haven Avenue Arcadia",91006,3,1,1248,900000
"6749 Gill Way Los Angeles",90068,3,4,1859,1458000
"2030 Oakstone Way Los Angeles",90046,2,2,1347,2200000
"1460 North Doheny Drive Los Angeles",90069,5,6,5156,7949000
"14517 Sunset Boulevard Pacific Palisades",90272,3,2,1404,1995000
"14928 La Cumbre Drive Pacific Palisades",90272,6,7,9222,17495000
"3615 Malibu Country Drive Malibu",90265,4,4,4830,5450000
"4342 Angeles Vista Boulevard View Park",90008,4,3,2918,1998888
"4521 Beck Avenue Studio City",91602,6,6,5824,4795000
"19963 Cantara Street Winnetka",91306,4,2,2108,1199000
"5506 West Olympic Boulevard Los Angeles",90019,2,3,1474,1099000
"5506 West Olympic Boulevard Los Angeles",90019,2,3,1474,1099000
"29600 Harvester Road Malibu",90265,6,7,9351,19900000
"1960 West 80th Street Los Angeles",90047,3,3,1643,699000
"680 North Las Casas Avenue Pacific Palisades",90272,3,2,1964,2995000
"9694 Oak Pass Road Beverly Hills",90210,7,1,13962,25000000
"1057 Indiana Avenue Venice",90291,3,2,1850,2195000
"2469 Westridge Road Los Angeles",90049,5,4,4668,5345000
"1410 Grossmont Drive Whittier",90601,4,2,1614,988000
"6014 Beachwood Lane Los Angeles",90038,3,4,1942,1199000
"1740 Bel Air Road Los Angeles",90077,7,1,11246,17500000
"6301 West 77th Street Los Angeles",90045,3,2,1810,1599000
"16168 Royal Oak Road Encino",91436,4,4,3482,3389000
"1851 Kimberly Lane Los Angeles",90049,5,6,5380,8495000
"1761 North Orange Grove Avenue Los Angeles",90046,3,2,2404,2299000
"6236 Drexel Avenue Los Angeles",90048,5,5,3800,3995000
"570 North Bundy Drive Los Angeles",90049,5,6,5638,12900000
"28882 Via Venezia Malibu",90265,4,5,6273,7595000
"22202 Pacific Coast Highway Malibu",90265,4,4,3284,22000000
